age_bracket,count,asymptomatic,ratio_asymptomatic,ratio_symptomatic
<6,6,4,0.6666666666666666,0.33333333333333337
6-10,633,387,0.6113744075829384,0.3886255924170616
11-14,1145,563,0.49170305676855897,0.508296943231441
15-18,953,312,0.3273871983210913,0.6726128016789087
adult,761,121,0.1590013140604468,0.8409986859395532
